Date,Marino,Coleraine St.,Phoenix Park,Wood Quay,Rathmines
28-Aug-12,3.3,5.2,11.4,1.4,13
29-Aug-12,5.6,5.1,11.4,8.5,10.7
30-Aug-12,7.1,5.4,10.2,8.9,14
31-Aug-12,5.6,4.4,13.8,13.7,15.9
01-Sep-12,6,4.5,8,8.3,8.3
02-Sep-12,5.4,3.6,5.1,4.9,5.2
03-Sep-12,7.4,6.8,9.6,7.9,10.9
04-Sep-12,7.4,4.4,13.9,11,16.2
05-Sep-12,10,7.3,13.4,12.4,16.5
06-Sep-12,7.9,6.4,10.9,2.9,12.5
07-Sep-12,6.7,5.2,6.7,9.6,7.7
08-Sep-12,5.6,8.6,7.9,6.1,10.9
09-Sep-12,6.4,8.4,9.7,9.4,11.9
10-Sep-12,,3.7,4.6,1.9,4.9
11-Sep-12,,2,6,3.2,6.7
12-Sep-12,,2.8,6.9,7.1,7.7
13-Sep-12,3.9,3.8,8.7,10,9.9
14-Sep-12,5.3,5,13.4,11.9,14.4
15-Sep-12,3.1,3.2,5.7,5.6,5.5
16-Sep-12,3.1,2.2,8.2,4.7,7.1
17-Sep-12,4.3,3.4,6.2,6.1,7.5
18-Sep-12,,11.2,6,4.4,8.3
19-Sep-12,2.4,4.2,4.9,4.3,8.3
20-Sep-12,3.7,5.1,4.8,3.8,7.7
21-Sep-12,6.1,5.7,6.3,8.5,10.6
22-Sep-12,8.3,9.7,7.8,9.4,12.6
23-Sep-12,12.2,13.4,11.4,13.6,17.9
24-Sep-12,,4.3,,4.3,7.5
25-Sep-12,4,3.5,,3.8,5.4
26-Sep-12,2.2,4.8,,7.8,12.3
27-Sep-12,1.3,3.1,6.8,7.9,11
28-Sep-12,1.5,4.1,6.8,8.6,8.3
29-Sep-12,3.7,4.1,10.4,13.6,13.9
30-Sep-12,1.9,3.3,8.3,11.9,8.6
01-Oct-12,1.5,3.9,9.3,11.7,9
02-Oct-12,1,4.7,7.9,11.4,7.7
03-Oct-12,0.1,40.3,7,9.9,7.8
04-Oct-12,,,,6.4,7.4
05-Oct-12,6.1,,8.5,9.7,9.7
06-Oct-12,3.8,10.3,9.3,10.6,12.4
07-Oct-12,17.2,6.8,7.3,12.6,10.5
08-Oct-12,4.4,7.7,10.7,12.4,14.3
09-Oct-12,16.7,30.7,18.9,24.2,35.8
10-Oct-12,16,24.6,15.8,27.8,21
11-Oct-12,5.6,6.8,5.5,7.4,7.4
12-Oct-12,8.2,8.5,6.4,7.9,9.3
